"filename", "language", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\rol\rol.service.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\rol\rol.service.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 12, 53
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales-details\dto\create-sales-detail.dto.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales-details\dto\update-sales-detail.dto.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales-details\entities\sales-detail.entity.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 7, 27
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales-details\sales-details.controller.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales-details\sales-details.controller.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales-details\sales-details.module.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales-details\sales-details.service.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales-details\sales-details.service.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 12, 53
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales\dto\create-sale-detail.dto.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 9, 33
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales\dto\create-sale.dto.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales\dto\update-sale.dto.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales\entities\sale.entity.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 8, 38
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales\sales.controller.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales\sales.controller.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 16, 87
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales\sales.module.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales\sales.service.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\sales\sales.service.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 35, 182
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\user\dto\create-user.dto.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 6, 20
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\user\dto\update-user.dto.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 2, 5
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\user\entities\user.entity.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 7, 29
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\user\user.controller.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\user\user.controller.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\user\user.module.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\user\user.service.spec.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\src\user\user.service.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 20, 83
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\test\app.e2e-spec.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\test\jest-e2e.json", "JSON", 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\tsconfig.build.json", "JSON", 0, 0, 3, 0, 0, 2, 0, 5
"c:\Users\USUARIO\Documents\GitHub\sales-microservices\tsconfig.json", "JSON with Comments", 0, 21, 0, 0, 0, 0, 1, 22
"Total", "-", 1182, 21, 10092, 25, 51, 305, 349, 12025
